                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 2.9029,                 3.0345,                 3.6037,                0.00401,                      1,                0.04362,                0.01555,                 2.3764,                 3.3638,                 3.9901,             0.00040486,             0.00040486,             0.00040486
                     75,                 2.9255,                 2.9491,                 3.6021,                0.00401,                      1,                 0.0543,                0.01851,                 2.3724,                   3.35,                 3.9627,             0.00039575,             0.00039575,             0.00039575
                     76,                 2.8198,                 3.1831,                 3.6378,                0.00401,                      1,                 0.0543,                0.01851,                 2.3724,                   3.35,                 3.9627,             0.00038625,             0.00038625,             0.00038625
                     77,                 2.8814,                 3.2364,                 3.7539,                0.00401,                      1,                 0.0543,                0.01851,                 2.3724,                   3.35,                 3.9627,             0.00037635,             0.00037635,             0.00037635
                     78,                 2.6366,                 3.2469,                 3.6049,                0.00401,                      1,                0.07229,                0.02225,                 2.3583,                 3.3324,                 3.9135,             0.00036606,             0.00036606,             0.00036606
                     79,                   2.46,                 3.2372,                 3.5108,                0.00401,                      1,                0.07229,                0.02225,                 2.3583,                 3.3324,                 3.9135,             0.00035537,             0.00035537,             0.00035537
                     80,                 2.8616,                 2.7078,                 3.5692,                0.00401,                      1,                0.07229,                0.02225,                 2.3583,                 3.3324,                 3.9135,             0.00034428,             0.00034428,             0.00034428
                     81,                 3.0075,                 3.1263,                 3.3874,                0.00402,                      1,                0.07217,                0.02449,                 2.3468,                 3.3183,                 3.8798,              0.0003328,              0.0003328,              0.0003328
                     82,                 2.6563,                 2.8967,                 3.5286,                0.00402,                      1,                0.07217,                0.02449,                 2.3468,                 3.3183,                 3.8798,             0.00032092,             0.00032092,             0.00032092
                     83,                 2.6556,                 2.7441,                 3.4518,                0.00402,                      1,                0.07217,                0.02449,                 2.3468,                 3.3183,                 3.8798,             0.00030865,             0.00030865,             0.00030865
                     84,                 2.8686,                  2.994,                 3.6772,                  0.004,                      1,                 0.0879,                0.02804,                 2.3354,                 3.3142,                 3.8598,             0.00029598,             0.00029598,             0.00029598
                     85,                 2.8837,                 3.4783,                 3.4848,                  0.004,                      1,                 0.0879,                0.02804,                 2.3354,                 3.3142,                 3.8598,             0.00028291,             0.00028291,             0.00028291
                     86,                 2.7131,                 3.0064,                 3.5943,                  0.004,                      1,                 0.0879,                0.02804,                 2.3354,                 3.3142,                 3.8598,             0.00026945,             0.00026945,             0.00026945
                     87,                 2.6316,                 2.9099,                 3.3744,                  0.004,                      1,                 0.0879,                0.02804,                 2.3354,                 3.3142,                 3.8598,             0.00025559,             0.00025559,             0.00025559
                     88,                 2.9123,                 3.1565,                 3.7209,                0.00401,                      1,                0.03922,                0.01589,                 2.3462,                  3.338,                 3.9372,             0.00024134,             0.00024134,             0.00024134
                     89,                 2.6915,                 2.9872,                 3.5058,                0.00401,                      1,                0.03922,                0.01589,                 2.3462,                  3.338,                 3.9372,             0.00022669,             0.00022669,             0.00022669
                     90,                 2.7286,                 2.8636,                 3.5735,                0.00401,                      1,                0.03922,                0.01589,                 2.3462,                  3.338,                 3.9372,             0.00021164,             0.00021164,             0.00021164
                     91,                 2.5943,                   3.27,                 3.3292,                0.00401,                      1,                0.03922,                0.01589,                 2.3462,                  3.338,                 3.9372,              0.0001962,              0.0001962,              0.0001962
                     92,                 2.2177,                 3.3346,                 3.2597,                0.00401,                      1,                0.02938,                 0.0127,                 2.4022,                 3.3735,                 4.0249,             0.00018036,             0.00018036,             0.00018036
                     93,                 2.5184,                 3.2195,                 3.4337,                0.00401,                      1,                0.02938,                 0.0127,                 2.4022,                 3.3735,                 4.0249,             0.00016413,             0.00016413,             0.00016413
                     94,                 2.4505,                 3.2958,                 3.3712,                0.00401,                      1,                0.02938,                 0.0127,                 2.4022,                 3.3735,                 4.0249,              0.0001475,              0.0001475,              0.0001475
                     95,                 2.5182,                 3.1353,                 3.2438,                0.00401,                      1,                0.02938,                 0.0127,                 2.4022,                 3.3735,                 4.0249,             0.00013047,             0.00013047,             0.00013047
                     96,                 2.0449,                  3.054,                 3.1643,                  0.004,                      1,                0.03096,                0.01251,                   2.43,                 3.3892,                  4.081,             0.00011305,             0.00011305,             0.00011305
                     97,                   2.08,                 2.9658,                 3.2315,                  0.004,                      1,                0.03096,                0.01251,                   2.43,                 3.3892,                  4.081,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                 2.0012,                 3.0233,                 3.2351,                  0.004,                      1,                0.03096,                0.01251,                   2.43,                 3.3892,                  4.081,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                 2.1547,                 2.9893,                 3.3134,                  0.004,                      1,                0.03096,                0.01251,                   2.43,                 3.3892,                  4.081,             5.8408e-05,             5.8408e-05,             5.8408e-05
                    100,                  2.112,                 3.0336,                 3.1719,                0.00402,                      1,                0.02988,                0.01252,                 2.4322,                 3.3978,                 4.0912,             3.9402e-05,             3.9402e-05,             3.9402e-05
